Gene family,Product name,Class,Subclass
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,GENTAMICIN C/NEOMYCIN/PAROMOMYCIN
16S,16S ribosomal RNA,EDEINE,EDEINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,TETRACYCLINE,TETRACYCLINE
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,SPECTINOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,STREPTOMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,KASUGAMYCIN
16S,16S ribosomal RNA,AMINOGLYCOSIDE,G418/TOBRAMYCIN
pbp2,Neisseria gonorrhoeae penicillin-binding protein PBP2,BETA-LACTAM,BETA-LACTAM
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE/STREPTOGRAMIN,MACROLIDE/STREPTOGRAMIN
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,MACROLIDE,ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,AZITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,MACROLIDE,MACROLIDE
23S,23S ribosomal RNA,LINCOSAMIDE/MACROLIDE,CLINDAMYCIN/ERYTHROMYCIN
23S,23S ribosomal RNA,LINCOSAMIDE/OXAZOLIDINONE,CLINDAMYCIN/LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,MACROLIDE/OXAZOLIDINONE,CLARITHROMYCIN/LINEZOLID
23S,23S ribosomal RNA,MULTIDRUG,CHLORAMPHENICOL/ERYTHROMYCIN/TELITHROMYCIN
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,OXAZOLIDINONE,LINEZOLID
23S,23S ribosomal RNA,MACROLIDE,TELITHROMYCIN
23S,23S ribosomal RNA,MACROLIDE,ERYTHROMYCIN/TELITHROMYCIN
nimB,nimB promoter region,NITROIMIDAZOLE,METRONIDAZOLE
aac(2')-I(A267),aminoglycoside N-acetyltransferase AAC(2')-I(A267),AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN
aac(2')-IIa,kasugamycin N-acetyltransferase AAC(2')-IIa,AMINOGLYCOSIDE,KASUGAMYCIN
aac(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,AMINOGLYCOSIDE,KASUGAMYCIN
aac(2')-Ia,aminoglycoside N-acetyltransferase AAC(2')-Ia,AMINOGLYCOSIDE,GENTAMICIN/PLAZOMICIN/TOBRAMYCIN
aac(2')-Ib,aminoglycoside N-acetyltransferase AAC(2')-Ib,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN
aac(2')-Ic,aminoglycoside N-acetyltransferase AAC(2')-Ic,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN
aac(2')-Id,aminoglycoside N-acetyltransferase AAC(2')-Id,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN
aac(2')-Ie,aminoglycoside N-acetyltransferase AAC(2')-Ie,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN
aac(3)-C1264,aminoglycoside N-acetyltransferase AAC(3)-C1264,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(3)-C322,aminoglycoside N-acetyltransferase AAC(3)-C322,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(3)-IIIa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIIb,aminoglycoside N-acetyltransferase AAC(3)-IIIb,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIIc,aminoglycoside N-acetyltransferase AAC(3)-IIIc,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIa,aminoglycoside N-acetyltransferase AAC(3)-IIa,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIb,aminoglycoside N-acetyltransferase AAC(3)-IIb,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIc,aminoglycoside N-acetyltransferase AAC(3)-IIc,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-IVa,aminoglycoside N-acetyltransferase AAC(3)-IVa,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN
aac(3)-IVb,aminoglycoside N-acetyltransferase AAC(3)-IVb,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN
aac(3)-IXa,aminoglycoside N-acetyltransferase AAC(3)-IXa,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ib/aac(6')-Ib'',bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib'',AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ic,aminoglycoside N-acetyltransferase AAC(3)-Ic,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ih,aminoglycoside N-acetyltransferase AAC(3)-Ih,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-VIIa,aminoglycoside N-acetyltransferase AAC(3)-VIIa,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,AMINOGLYCOSIDE,GENTAMICIN
aac(3)-XI,aminoglycoside N-acetyltransferase AAC(3)-XI,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(3)-Xa,aminoglycoside N-acetyltransferase AAC(3)-Xa,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-29,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-30/aac(6')-Ib',bifunctional aminoglycoside N-acetyltransferase AAC(6')-30/aminoglycoside N-acetyltransferase AAC(6')-Ib',AMINOGLYCOSIDE,AMINOGLYCOSIDE/GENTAMICIN
aac(6')-30,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-35,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,AMINOGLYCOSIDE,KANAMYCIN
aac(6')-D292,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-D42,aminoglycoside 6'-N-acetyltransferase AAC(6')-D42,AMINOGLYCOSIDE,KANAMYCIN
aac(6')-E111,aminoglycoside 6'-N-acetyltransferase AAC(6')-E111,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E141,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E449,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E526,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E550,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E553,aminoglycoside 6'-N-acetyltransferase AAC(6')-E553,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E606,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E64,aminoglycoside 6'-N-acetyltransferase AAC(6')-E64,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-E657,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,AMINOGLYCOSIDE,TOBRAMYCIN
aac(6')-E963,aminoglycoside 6'-N-acetyltransferase AAC(6')-E963,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN
aac(6')-F309,aminoglycoside 6'-N-acetyltransferase AAC(6')-F309,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-F72,aminoglycoside 6'-N-acetyltransferase AAC(6')-F72,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-III,tobramycin N-acetyltransferase AAC(6')-III,AMINOGLYCOSIDE,TOBRAMYCIN
aac(6')-III,tobramycin N-acetyltransferase AAC(6')-III,AMINOGLYCOSIDE,TOBRAMYCIN
aac(6')-III,tobramycin N-acetyltransferase AAC(6')-III,AMINOGLYCOSIDE,TOBRAMYCIN
aac(6')-IIa,aminoglycoside N-acetyltransferase AAC(6')-IIa,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-IIa,aminoglycoside N-acetyltransferase AAC(6')-IIa,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-IIa,aminoglycoside N-acetyltransferase AAC(6')-IIa,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ia,aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Ia,aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Ia,aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iad,aminoglycoside N-acetyltransferase AAC(6')-Iad,AMINOGLYCOSIDE,AMIKACIN/TOBRAMYCIN
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,AMINOGLYCOSIDE,AMINOGLYCOSIDE
aac(6')-Iap,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iap,AMINOGLYCOSIDE,AMIKACIN/TOBRAMYCIN
aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib-cr,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN
aac(6')-Ib11,aminoglycoside N-acetyltransferase AAC(6')-Ib11,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib11,aminoglycoside N-acetyltransferase AAC(6')-Ib11,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,KANAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,GENTAMICIN
aac(6')-Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN
