BioSample	Isolate	Organism group	amikacin	amoxicillin	amoxicillin-clavulanic acid	amphotericin B	ampicillin	ampicillin-sulbactam	anidulafungin	apramycin	avilamycin	azithromycin	aztreonam	benzylpenicillin	capreomycin	carbenicillin	caspofungin	cefaclor	cefalexin	cefalotin	cefamandole	cefazolin	cefepime	cefiderocol	cefixime	cefmetazole	cefotaxime	cefotaxime-clavulanic acid	cefotetan	cefovecin	cefoxitin	cefpodoxime	ceftaroline	ceftazidime	ceftazidime-avibactam	ceftazidime-clavulanic acid	ceftiofur	ceftolozane-tazobactam	ceftriaxone	cefuroxime	cephalexin	cephalothin	chloramphenicol	chlortetracycline	ciprofloxacin	clarithromycin	clindamycin	colistin	cycloserine	danofloxacin	daptomycin	delafloxacin	dicloxacillin	doripenem	doxycycline	enrofloxacin	ertapenem	erythromycin	ethambutol	ethionamide	fidaxomicin	florfenicol	fluconazole	flucytosine	fosfomycin	fusidic acid	gentamicin	imipenem	imipenem-relebactam	isavuconazole	isoniazid	itraconazole	kanamycin	levofloxacin	linezolid	meropenem	meropenem-vaborbactam	metronidazole	micafungin	minocycline	moxifloxacin	mupirocin	nalidixic acid	neomycin	netilmicin	nitrofurantoin	norfloxacin	ofloxacin	oxacillin	oxytetracycline	pefloxacin	penicillin	piperacillin	piperacillin-tazobactam	polymyxin B	posaconazole	pyrazinamide	quinupristin	quinupristin-dalfopristin	rifampin	spectinomycin	streptomycin	sulfamethoxazole	sulfisoxazole	synercid	teicoplanin	telithromycin	tetracycline	ticarcillin	tigecycline	tobramycin	trimethoprim	trimethoprim-sulfamethoxazole	vancomycin	voriconazole	zoliflodacin
SAMN04901629	PDT000152780.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	resistant	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901630	PDT000175363.2	Pseudomonas aeruginosa	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901631	PDT000352616.1	Pseudomonas aeruginosa	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901632	PDT000175358.2	Pseudomonas aeruginosa	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901633	PDT000175362.2	Pseudomonas aeruginosa	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901634	PDT000152781.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901635	PDT000175359.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901636	PDT000175361.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901637	PDT000152782.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901638	PDT000175360.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901639	PDT000175364.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901640	PDT000175355.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901641	PDT000152783.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	resistant	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901642	PDT000175357.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901643	PDT000152784.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901644	PDT000152785.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901645	PDT000152786.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901646	PDT000152787.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	susceptible	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901647	PDT000152788.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901648	PDT000152789.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901649	PDT000152791.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901650	PDT000152792.2	Pseudomonas aeruginosa	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901651	PDT000152793.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	resistant	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901652	PDT000152794.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901653	PDT000152795.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	susceptible	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901654	PDT000152796.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901655	PDT000152708.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901656	PDT000152709.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901657	PDT000152710.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901658	PDT000152711.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901659	PDT000152713.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901660	PDT000152714.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	resistant	NA	NA	NA	NA	NA	resistant	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN04901661	PDT000152715.2	Pseudomonas aeruginosa	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	NA	NA	susceptible	NA	NA	NA	NA	NA	intermediate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	resistant	resistant	NA	NA	NA	NA	NA	resistant	NA	resistant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	susceptible	susceptible	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
