Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
blaOXA-214_fam	CARBAPENEM	bla-D	0	2	2	4	4	4	4	4	5	5	5	5	5	5	5	5
blaOXA-229_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
blaOXA-229_fam	CARBAPENEM	bla-D	0	0	3	8	9	9	9	9	10	15	17	23	25	26	26	26
blaOXA-266_fam	BETA-LACTAM	bla-D	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2
blaOXA-274_fam	CARBAPENEM	bla-D	0	0	0	2	4	5	5	5	5	5	5	6	6	6	6	6
blaOXA-286_fam	CARBAPENEM	bla-D	0	0	0	10	13	13	13	15	15	15	15	15	16	17	17	17
blaOXA-364_fam	BETA-LACTAM	bla-D	0	0	1	1	1	2	3	3	3	5	5	5	5	5	5	5
blaOXA-372_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	2	2	2	3	4	4	4	4
blaOXA-493_fam	BETA-LACTAM	bla-D	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2
blaOXA-542_fam	CARBAPENEM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-548_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6
blaOXA-576_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-727_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2

