Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
blaVIM	CARBAPENEM	bla-B	24	27	32	37	38	46	51	53	60	67	72	78	83	83	89	92
blaTTU	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaTUS	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaVCC	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaSPS	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSPM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSHW	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSIM	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
blaSMB	CARBAPENEM	bla-B	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSME	CARBAPENEM	bla-A	4	4	4	4	5	5	5	5	5	5	5	5	5	5	6	6
blaSHN	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSFC	CARBAPENEM	bla-A	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3
blaSFH	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaPST	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2
blaPFM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	0	3	3	4	4	4	4	4
blaPLN	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaPNGM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaPOM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
blaORR	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaOXA-PR	CARBAPENEM	bla-D	0	0	0	0	0	0	0	1	1	1	2	3	3	3	3	3
blaFEZ	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFIA	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaFIM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaECM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaECV	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaEFM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaELM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
